input,output,instruction
ประชากรในทวีปใดที่นับถือศาสนาพุทธเป็นส่วนใหญ่ ,ทวีปเอเชีย ,ถามตอบ
หลักธรรมของศาสนาใดที่ไม่ให้เชื่อเพียงเพราะเป็นคำสอนของศาสนาแต่ต้องเชื่อเพราะผ่านการพิสูจน์ด้วยตนเองแล้วเท่านั้น ,ศาสนาพุทธ ,ถามตอบ
ศาสนาใดใช้คัมภีร์เป็นกฎหมาย ,ศาสนาอิสลาม ,ถามตอบ
ศาสนาแบบเทวนิยมหมายถึงศาสนาที่มีลักษณะแบบใด ,เชื่อในอำนาจเทพเจ้าสูงสุด ,ถามตอบ
พระเถระไดที่ได้รับยกย่องว่ามีปัญญาเลิศกว่าสาวกองค์อื่น ,พระสารีบุตร ,ถามตอบ
ธรรมจักขุหมายถึงอะไร ,ดวงตาเห็นธรรม ,ถามตอบ
ข้อใดแสดงถึงความจริงอันบะเสิร์ตที่พระพุทธเจ้าทรงตรัสรู้ ,อริยสัจ 4 ,ถามตอบ
เราสามารถหาความรู้เกี่ยวกับพระพุทธศาสนาได้จากที่ใด ,พระ ไตรปิฏก ,ถามตอบ
ปัจจุบันการบวชพระเราใช้วิธีการใด ,ญัตติจตุตถกรรมวาจา,ถามตอบ
ตัวแทนของพระพุทธศาสนาหลังจากพระพุทธเจ้าปรินิพพานคือใคร ,พระ ธรรมวินัย ,ถามตอบ
พิธีกรรมใดที่ไม่เป็นพุทธบัญญัติ ,ลอยกระทง ,ถามตอบ
วันอัฏฐมีบูชามีความสำคัญอย่างไร ,เป็นวันถวายพระเพลิงพระพุทธเจ้า ,ถามตอบ
การบรรพชากับการอุบัติสมบทต่างกันอย่างไร ,การบรรพชาเป็นการบวชเป็นสามเณรการอุปสมบทเป็นการบวชเป็นพระภิกษุ ,ถามตอบ
องค์ประกอบของพระไตรปิฏกได้แก่ข้อใด ,พระวินัย พระสูตร พระอภิธรรม ,ถามตอบ
เมื่อพระเจ้าปรินิพพานทรงแสดงหลักสำคัญเรื่องใด ,สติความไม่ประมาท ,ถามตอบ
พิธีปวารณาในศาสนาพุทธพระสงฆ์จะทำพิธีนี้ในวันใด ,วันออกพรรษา ,ถามตอบ
ความอยากมีอยากได้อยากเป็นเป็นสาเหตุที่ทำให้เกิดอะไรขึ้นแก่ผู้นั้น ,ความทุกข์ ,ถามตอบ
ปัจฉิมโอวาทของพระพุทธองค์ทรงกล่าวถึงสิ่งใด ,ไม่ให้ประมาท ,ถามตอบ
ความจริงอันประเสริฐสี่ประการได้แก่ข้อใด ,อริยสัจ 4 ,ถามตอบ
บุคคลใดที่ได้รับการแสดงปฐมนิเทศนาจากพระพุทธเจ้า ,ปัญจวคีย์ทั้ง 5 ,ถามตอบ
การรับศีลใดเพื่อเป็นการยืนยันยอมรับว่านับถือศาสนาคริสต์ ,ศีลกำลัง ,ถามตอบ
ข้อห้ามของศาสนาอิสลามคือข้อใด ,การเล่นการพนันทุกชนิด ,ถามตอบ
ศาสนาใดไม่มีพระเจ้า ,ศาสนาพุทธ ,ถามตอบ
วันสำคัญเกี่ยวกับศาสนาวันใดที่นับว่าเป็นวันที่มีพระรัตนตรัยเกิดขึ้นครบสมบูรณ์ ,วันอาสาฬหบูชา ,ถามตอบ
วันอนุรักษ์มรดกไทยคือวันใด ,2 เมษายนของทุกปี ,ถามตอบ
พระพุทธเจ้าทรงแสดงธรรมโปรดผู้ใดในวันมาฆบูชา ,พระอรหันต์เอหิภิกขุ,ถามตอบ
ช่วงเวลาในรอบ 10 ปีเรียกว่าอะไร ,ทศวรรษ,ถามตอบ
เราทราบความเป็นมาทางประวัติศาสตร์ไทยสมัยสุโขทัยได้จากแหล่งความรู้ใด,ศิราจารึก ,ถามตอบ
พระมหากษัตริย์ผู้ทรงกอบกู้เอกราชให้ชาติไทยในการเสียกรุงครั้งที่1 คือพระองค์ใด , สมเด็จพระนเรศวรวรมหาราช ,ถามตอบ
อาณาจักรล้านนาในอดีตปัจจุบันคือจังหวัดใด ,เชียงใหม่ ,ถามตอบ
กษัตริย์พระองค์ใดที่มีชื่อเสียงมากที่สุดและสร้างความเจริญรุ่งเรืองให้แก่อาณาจักรสุโขทัยมากที่สุด ,พ่อขุนรามคำแหงมหาราช ,ถามตอบ
กษัตริย์องค์สุดท้ายของกรุงศรีอยุธยาคือกษัตริย์พระองค์ใด ,สมเด็จพระเจ้าเอกทัศ ,ถามตอบ
วัดขนาดใหญ่วัดได้ที่สร้างก่อนพระเวทย์พระเจ้าอู่ทองทรงสถาปนากรุงศรีอยุธยาเป็นราชธานี ,วัดพนัญเชิง ,ถามตอบ
แม่น้ำสายใดที่มารวมกันอยู่ที่กรุงศรีอยุธยา ,เจ้าพระยา ลพบุรี ป่าสัก ,ถามตอบ
การปกครองในสมัยกรุงศรีอยุธยาเป็นแบบใด , สมบูรณาญาสิทธิราชย์,ถามตอบ
ตำแหน่งพระยาโกษาอธิบดีเป็นตำแหน่งของกรมได้ ,กรมคลัง ,ถามตอบ
ตำแหน่งศักดินาเกิดขึ้นในสมัยใด ,พระบรมไตรโลกนาถ ,ถามตอบ
ผู้ที่ทำการกู้เอกราชหลังจากการเสียกรุงครั้งที่2คือใคร ,สมเด็จพระเจ้าตากสินมหาราช,ถามตอบ
ชาวบ้านบางระจันมีความสำคัญอย่างไร ,ชาวบ้านที่รวมตัวกันป้องกันพม่าที่จะเข้าตีกรุงศรีอยุธยา ,ถามตอบ
กฎหมายตราสามดวงเป็นกฎหมายสำคัญเกิดในสมัยใด ,รัตนโกสินทร์ ,ถามตอบ
การสงครามที่ต้องต่อสู้บนหลังช้างเรียกว่าอะไร ,สงครามยุทธหัตถี,ถามตอบ
ยุคทองของกรุงศรีอยุธยาตรงกับรัชสมัยใด,สมเด็จพระนารายณ์มหาราช,ถามตอบ
หน่วยงานที่เรียกว่า กรมเวียงในสมัยกรุงศรีอยุธยาตอนต้น มีหน้าที่อย่างไร ,ปราบโจรผู้ร้ายและลงโทษผู้ที่กระทำผิดกฎหมายบ้านเมือง ,ถามตอบ
อาณาจักรได้ที่มีระยะเวลาสั้นที่สุด ,ธนบุรี ,ถามตอบ
ระบบศักดินามีลักษณะเป็นอย่างไร ,ใครมียศสูงให้มีที่นามาก ,ถามตอบ
บริเวณใดที่มีผลผลิตข้าวหอมมะลิที่มีชื่อเสียงของประเทศไทย ,จังหวัดสุรินทร์ ,ถามตอบ
ฝนแปดแดดสี่หมายถึงภูมิภาคใดของประเทศไทย ,ภาคใต้ ,ถามตอบ
เทือกเขาใดที่กันประเทศไทยกับลาว ,เทือกเขาหลวงพระบาง ,ถามตอบ
ผลผลิตปาล์มน้ำมันเป็นผลผลิตทางการเกษตรที่สำคัญของภาคใดของไทย ,ภาคใต้  ,ถามตอบ
เขตเงาฝนจะมีสภาพอากาศอย่างไร ,ร้อนอบอ้าวแห้งแล้ง ,ถามตอบ
ช่วงฤดูร้อนจังหวัดทางภาคใต้อุณหภูมิไม่สูงมากเพราะเหตุใด ,อยู่ใกล้ทะเล ,ถามตอบ
ทางหลวงสายใดที่เชื่อมระหว่างกรุงเทพฯถึงตราด ,ถนนสุขุมวิท ,ถามตอบ
ทางหลวงแผ่นดินสายใดเป็นสายที่ยาวที่สุด ,ถนนพหลโยธิน ,ถามตอบ
ทางรถไฟสายใดยาวที่สุด ,กรุงเทพฯ-สไหงโกลก ,ถามตอบ
อะไรเป็นทรัพยากรธรรมชาติที่สำคัญที่สุด ,คน ,ถามตอบ
ประเทศอินโดนีเซียได้รับเอกราชจากประเทศใด,ประเทศ เนเธอร์แลนด์ ,ถามตอบ
ศาสนาประจำชาติของอินโดนีเซียคือข้อใด ,อิสลาม ,ถามตอบ
ประเทศใดมีทรัพยากรน้ำมัน ,มาเลเซียบรูไน ,ถามตอบ
จากแผนที่โลกประเทศได้จะสว่างก่อนประเทศอื่น ,ญี่ปุ่น ,ถามตอบ
พิกัดภูมิศาสตร์มีความสำคัญอย่างไร ,บอกตำแหน่ง ,ถามตอบ
เส้นเมอริเดียนปฐมมีความสำคัญอย่างไรและลากผ่านประเทศอะไร ,บอกเวลาทานโลก ลากผ่านประเทศอังกฤษ ,ถามตอบ
เพราะเหตุใดบริเวณเส้น ศูนย์ สูตรอากาศจึงร้อน ,ได้รับแสงอาทิตย์มากที่สุด ,ถามตอบ
การปลูกมะละกอเพื่อส่งขายตลาดเป็นการผลิตขั้นใดตามหลักของเศรษฐศาสตร์ ,ขั้นปฐมภูมิ  ,ถามตอบ
 ภาคใต้และภาคตะวันออกเป็นแหล่งที่เหมาะแก่การประกอบอาชีพใด,ประมง ,ถามตอบ
หวายไม้ไผ่ ทองเหลืองกระดาษและผักตบชวาเป็นวัตถุดิบในการประกอบอาชีพใด,หัตถกรรม ,ถามตอบ
ปัจจัยใดที่ส่งเสริมอาชีพใดมากที่สุด ,สภาพภูมิอากาศทรัพยากร ,ถามตอบ
พืชชนิดใดจัดอยู่ในประเภทพืชผักสวนครัว ,พริก ตะไคร้มะกรูด ,ถามตอบ
แร่เศรษฐกิจของไทยชนิดใดทำรายได้เข้าประเทศสูงมากกว่าสินแร่ชนิดอื่นๆทั้งหมด ,รัตนชาติ ,ถามตอบ
เมื่อเกิดปัญหาระหว่างนายจ้างกับลูกจ้างต้องไปฟ้องร้องกันที่ใด,ศาลแรงงาน ,ถามตอบ
ปัจจุบันเศรษฐกิจของไทยมุ่งพัฒนาด้านใดเป็นสำคัญ ,การอุตสาหกรรมการบริการ ,ถามตอบ
ใครเป็นผู้กำหนดราคาสินค้าในท้องตลาด ,คณะกรรมการสหกรณ์ ,ถามตอบ
การรับสมาชิกสหกรณ์เป็นหน้าที่ของใคร ,เหรัญญิก ,ถามตอบ
สหกรณ์แตกต่างจากบริษัทจำกัดในเรื่องใดเป็นสำคัญ ,การมีสิทธิมีเสียง ,ถามตอบ
บิดาแห่งวิชาเศรษฐศาสตร์หมายถึงใคร ,อาดัมสมิท,ถามตอบ
ประเทศไทยใช้ระบบเศรษฐกิจแบบใด ,แบบผสม ,ถามตอบ
คำว่าอธิปไตยหมายถึงอะไร ,อำนาจสูงสุดในการปกครอง ,ถามตอบ
สาเหตุสำคัญที่ทำให้เกิดมลพิษคืออะไร ,มนุษย์ ,ถามตอบ
รายได้ชนิดใดเป็นรายได้ภายในประเทศ ,ภาษีอากร ,ถามตอบ
พินัยกรรมหมายถึงข้อใด ,คำสั่งซึ่งแสดงเจตนาจะให้ทรัพย์สินแก่ผู้ หนึ่ง ผู้ใดเมื่อตัวเองได้ตายลง ,ถามตอบ
การย้ายเข้ารื้อย้ายออกจากบ้านจะต้องแจ้งย้ายภายในระยะเท่าใด ,15 วัน ,ถามตอบ
การตั้งชื่อบุตร ธิดาต้องกระทำภายในกี่วัน ,15 วัน ,ถามตอบ
หน่วยสังคมหน่วยแรกของชีวิตคือข้อใด ,ครอบครัว ,ถามตอบ
บุคคลในข้อใดมีสิทธิ์ได้รับความช่วยเหลือจากรัฐ ,บุคคลอายุไม่เกิน 60 ปีและไม่มีรายได้เพียงพอเลี้ยงชีพ  ,ถามตอบ
ผู้ที่มีหน้าที่ควบคุมและบริหารราชการแผ่นดินของรัฐบาลได้แก่บุคคลในข้อใด , สมาชิกสภาผู้แทนราษฎร,ถามตอบ
ราชพิธีและรัฐพิธีเป็นพิธีเกี่ยวกับบุคคลในข้อใด ,พระมหากษัตริย์ ,ถามตอบ
รัฐธรรมนูญแห่งราชอาณาจักรไทยมีลักษณะเป็นอย่างไร ,กฎหมายสูงสุด ,ถามตอบ
อำนาจและผลประโยชน์ส่วนบุคคลที่กฎหมายให้ความคุ้มครองนั้นเรียกว่าอะไร ,สิทธิ ,ถามตอบ
กฎหมายแรงงานห้ามจ้างเด็กอายุต่ำกว่าเท่าใดทำงาน ,13 ปีบริบูรณ์ ,ถามตอบ
สถานที่ใดที่นายจ้างจ้างเด็กทำงานได้ ,โรงภาพยนตร์ ,ถามตอบ
การปกครองระบอบประชาธิปไตยเริ่มในสมัยใด ,พระบาทสมเด็จพระปกเกล้าเจ้าอยู่หัว ,ถามตอบ
ปีพระพุทธศักราชตามคติที่ใช้ในสังคมไทยเริ่มต้นนับตั้งแต่เหตุการณ์ใดในพระพุทธประวัติ ,1 ปีหลังจากพระพุทธเจ้าปรินิพพาน ,ถามตอบ
การพัฒนาที่ยั่งยืนเชิงพุทธ ให้ความสำคัญการพัฒนาอะไรมากที่สุด ,คน ,ถามตอบ
การกระทำใดถือว่าเป็นการปฏิบัติตามอุดมการณ์ของพระพุทธศาสนา ,มีความอดทนบากบั่นทำงานอย่างไม่ย่อท้อ ,ถามตอบ
ประเทศใดที่ประมุขแห่งรัฐไม่ใช่กษัตริย์ ,อิหร่านอินโดนีเซีย ,ถามตอบ
สงครามอานามสยามยุทธกับญวนเกิดขึ้นในรัชกาลใด ,ราชการที่ 3 ,ถามตอบ
การสารภาพบาปในศาสนาคริสต์มีจุดประสงค์เพื่ออะไร ,เพื่อเป็นการเริ่มต้นทำความดีหลังจากยอมรับความผิดพลาด ,ถามตอบ
ความเชื่อข้อใดคือความแตกต่างระหว่างศาสนาพราหมณ์ฮินดูและศาสนาพุทธ ,มีอำนาจสูงสุดที่ไม่ใช่พระเจ้า ,ถามตอบ
ความหมายของซะกาดในศาสนาอิสลามตรงกับข้อใด ,ให้สละทรัพย์เพื่อสังคมตามสถานภาพ ,ถามตอบ
การให้ทานตามคำสอนของพระพุทธศาสนามีวัตถุประสงค์หลักเพื่ออะไร ,ชำระความโลภในใจ ,ถามตอบ
ข้อใดคือความหมายของคำว่าวันมหา ปวารณา ,วันที่พระทรงเปิดโอกาสให้พระสงฆ์ว่ากล่าวกันเองได้ ,ถามตอบ
ข้อใดเป็นธรรมปฏิสันถาวรในการต้อนรับแขก ,การยกมือไหว้ทักทาย ,ถามตอบ
ประเทศใดที่ประมุขแห่งรัฐดำรงตำแหน่งเป็นหัวหน้ารัฐบาล ,สหรัฐอเมริกา ,ถามตอบ
สังคมชมพูทวีปในสมัยพุทธกาลมีการแบ่งชนชั้นวรรณะอย่างชัดเจนวรรณะที่ทำหน้าที่สอนวิทยาการต่างๆและทำพิธีกรรมทางศาสนาให้แก่สังคมได้แก่ข้อใด ,พราหมณ์ ,ถามตอบ
คัมภีร์สำคัญในศาสนาพราหมณ์ที่เรียกว่า ศรุติ หมายถึงข้อใด ,คัมภีร์ที่เราฤาษีได้ยินเสียงทิพย์จากพระผู้เป็นเจ้าแล้วนำมาแต่งเป็นคัมภีร์ ,ถามตอบ
การพัฒนาเศรษฐกิจตามแผนฉบับที่ผ่านมาก่อให้เกิดผลประการใดบ้าง ,ทรัพยากรธรรมชาติและสิ่งแวดล้อมถูกทำลายมากขึ้น ,ถามตอบ
การกระตุ้นเศรษฐกิจทำได้โดยการใช้งบประมาณภาครัฐแบบใด ,งบประมาณขาดดุล ,ถามตอบ
สถานการณ์ข้อใดเป็นมาตรการกีดกันการค้าระหว่างประเทศ ,การกำหนดมาตรฐานสินค้าส่งออกและนำเข้า ,ถามตอบ
พัฒนาการในข้อใดเป็นลักษณะที่สำคัญที่สุดของสังคมมนุษย์ในยุคโลหะ ,การจัดระเบียบการปกครอง ,ถามตอบ
ชนชาติใดเป็นผู้คิดค้นระบบทศนิยมซึ่งเป็นที่ใช้แพร่หลายอยู่ในโลกจนถึงปัจจุบัน ,อินเดีย ,ถามตอบ
สงครามใดที่เป็นการสู้รบกันระหว่างชนชาติต่างๆในตะวันออกกับชนชาติต่างๆในตะวันตก ,สงครามครูเสด ,ถามตอบ
การปฏิวัติทางวิทยาศาสตร์และอุตสาหกรรมในยุโรปก่อให้เกิดผลกระทบตามมาที่สำคัญที่สุดในข้อใด ,ประเทศในยุโรปแข่งขันกับ แสวงหาอาณานิคม ,ถามตอบ
จุดประสงค์สำคัญที่สุดของขบวนการเสรีไทยคืออะไร ,ต่อต้านญี่ปุ่นและขับไล่ญี่ปุ่นออกจากประเทศไทย ,ถามตอบ
หลักธรรมในข้อใดสามารถนำมาใช้ในการดำรงชีวิตแบบพอเพียงได้ดีที่สุด  ,หลักโภควิภาค 4 ,ถามตอบ
มนุษย์เป็นสัตว์ประเสริฐเพราะการศึกษาหมายความว่าอย่างไร ,การศึกษา ทำให้มนุษย์รู้จักวิธีคิดวิเคราะห์พัฒนาความรู้ความเข้าใจสิ่งต่างๆ ,ถามตอบ
กองทุนการเงินระหว่างประเทศให้สมาชิกกู้ยืมไปเพื่อแก้ปัญหาใด,เงินสำรองต่างประเทศต่ำมาก ,ถามตอบ
การแบ่งชนชั้นตามระบบวรรณะในยุคสมัยพุทธกาลถือว่าเป็นการจำแนกด้านใด  ,อาชีพ ,ถามตอบ
โอมหมายถึงอะไรในศาสนาพราหมณ์ฮินดู ,ตรีมูรติ ,ถามตอบ
พระพุทธศาสนาให้อิสรภาพแก่ชาวอินเดียสมัยพุทธกาลในด้านใดมากที่สุด ,ระบบวรรณะ ,ถามตอบ
อกุศลกรรมและกุสลกรรมเป็นกรรมประเภทใด ,กรรมตามมูลเหตุ ,ถามตอบ
